Tank#,InoGrav,AvgGrowth,StanGrowth,Lighting,Plant,Media,Water
TANK1,Gravel,0.587,0.02822115385,Artificial,Peas,Float,Wicks
TANK1,Gravel,0.539,0.02591346154,Artificial,Peas,Float,Wicks
TANK1,Gravel,0.439,0.02110576923,Artificial,Peas,Float,Wicks
TANK1,Gravel,0.615,0.02956730769,Artificial,Peas,Float,Wicks
TANK1,Gravel,0.606,0.02913461538,Artificial,Peas,Float,Wicks
TANK1,Gravel,1.01,0.04855769231,Artificial,Peas,Float,Wicks
TANK1,Gravel,0.22,0.01057692308,Artificial,Peas,Float,Wicks
TANK1,Gravel,0.128,0.006153846154,Artificial,Peas,Float,Wicks
TANK1,Gravel,0.418,0.02009615385,Artificial,Peas,Float,Wicks
TANK2,Inoculant,0.137,0.01982894737,Natural,Tomatoes,Clay,Wicks
TANK2,Inoculant,0.166,0.02402631579,Natural,Tomatoes,Clay,Wicks
TANK2,Inoculant,0.156,0.02257894737,Natural,Tomatoes,Clay,Wicks
TANK2,Inoculant,0.137,0.01982894737,Natural,Tomatoes,Clay,Wicks
TANK2,Inoculant,0.22,0.03184210526,Natural,Tomatoes,Clay,Wicks
TANK2,Inoculant,0.201,0.02909210526,Natural,Tomatoes,Clay,Wicks
TANK2,Inoculant,0.112,0.01621052632,Natural,Tomatoes,Clay,Wicks
TANK2,Inoculant,0.112,0.01621052632,Natural,Tomatoes,Clay,Wicks
TANK2,Inoculant,0.146,0.02113157895,Natural,Tomatoes,Clay,Wicks
TANK2,Inoculant,0.164,0.02373684211,Natural,Tomatoes,Clay,Wicks
TANK2,Inoculant,0.179,0.02590789474,Natural,Tomatoes,Clay,Wicks
TANK3,Inoculant,0.128,0.01486931268,Artificial,Tomatoes,Float,Wicks
TANK3,Inoculant,0.214,0.02485963214,Artificial,Tomatoes,Float,Wicks
TANK3,Inoculant,0.156,0.01812197483,Artificial,Tomatoes,Float,Wicks
TANK3,Inoculant,0.145,0.01684414327,Artificial,Tomatoes,Float,Wicks
TANK3,Inoculant,0.216,0.02509196515,Artificial,Tomatoes,Float,Wicks
TANK3,Inoculant,0.19,0.02207163601,Artificial,Tomatoes,Float,Wicks
TANK3,Inoculant,0.213,0.02474346564,Artificial,Tomatoes,Float,Wicks
TANK3,Inoculant,0.201,0.02334946757,Artificial,Tomatoes,Float,Wicks
TANK3,Inoculant,0.152,0.01765730881,Artificial,Tomatoes,Float,Wicks
TANK3,Inoculant,0.111,0.01289448209,Artificial,Tomatoes,Float,Wicks
TANK3,Inoculant,0.0908,0.01054791868,Artificial,Tomatoes,Float,Wicks
TANK3,Inoculant,0.126,0.01463697967,Artificial,Tomatoes,Float,Wicks
TANK4,Gravel,0.0853,0.01319072165,Natural,Basil,Coconut,Wicks
TANK4,Gravel,0.177,0.02737113402,Natural,Basil,Coconut,Wicks
TANK4,Gravel,0.144,0.02226804124,Natural,Basil,Coconut,Wicks
TANK4,Gravel,0.132,0.02041237113,Natural,Basil,Coconut,Wicks
TANK4,Gravel,0.159,0.02458762886,Natural,Basil,Coconut,Wicks
TANK4,Gravel,0.186,0.0287628866,Natural,Basil,Coconut,Wicks
TANK4,Gravel,0.0382,0.005907216495,Natural,Basil,Coconut,Wicks
TANK4,Gravel,0.11,0.01701030928,Natural,Basil,Coconut,Wicks
TANK4,Gravel,0.149,0.02304123711,Natural,Basil,Coconut,Wicks
TANK4,Gravel,0.141,0.02180412371,Natural,Basil,Coconut,Wicks
TANK4,Gravel,0.0866,0.01339175258,Natural,Basil,Coconut,Wicks
TANK4,Gravel,0.164,0.02536082474,Natural,Basil,Coconut,Wicks
TANK5,Inoculant,0.0707,0.02424,Artificial,Basil,Clay,Pumps
TANK5,Inoculant,0.0988,0.03387428571,Artificial,Basil,Clay,Pumps
TANK5,Inoculant,0.157,0.05382857142,Artificial,Basil,Clay,Pumps
TANK5,Inoculant,0.135,0.04628571428,Artificial,Basil,Clay,Pumps
TANK5,Inoculant,0.155,0.05314285714,Artificial,Basil,Clay,Pumps
TANK5,Inoculant,0.106,0.03634285714,Artificial,Basil,Clay,Pumps
TANK5,Inoculant,0.193,0.06617142856,Artificial,Basil,Clay,Pumps
TANK5,Inoculant,0.0538,0.01844571428,Artificial,Basil,Clay,Pumps
TANK5,Inoculant,0.057,0.01954285714,Artificial,Basil,Clay,Pumps
TANK5,Inoculant,0.051,0.01748571428,Artificial,Basil,Clay,Pumps
TANK5,Inoculant,0.115,0.03942857142,Artificial,Basil,Clay,Pumps
TANK5,Inoculant,0.15,0.05142857142,Artificial,Basil,Clay,Pumps
TANK6,Gravel,0.0973,0.0179279732,Natural,Basil,Float,Pumps
TANK6,Gravel,0.226,0.04164154104,Natural,Basil,Float,Pumps
TANK6,Gravel,0.153,0.02819095478,Natural,Basil,Float,Pumps
TANK6,Gravel,0.0779,0.01435343384,Natural,Basil,Float,Pumps
TANK6,Gravel,0.104,0.01916247906,Natural,Basil,Float,Pumps
TANK6,Gravel,0.0916,0.01687772194,Natural,Basil,Float,Pumps
TANK6,Gravel,0.112,0.02063651591,Natural,Basil,Float,Pumps
TANK6,Gravel,0.0564,0.0103919598,Natural,Basil,Float,Pumps
TANK6,Gravel,0.152,0.02800670017,Natural,Basil,Float,Pumps
TANK6,Gravel,0.129,0.02376884422,Natural,Basil,Float,Pumps
TANK6,Gravel,0.11,0.0202680067,Natural,Basil,Float,Pumps
TANK7,Inoculant,0.68,0.05037037037,Artificial,Peas,Clay,Pumps
TANK7,Inoculant,0.569,0.04214814815,Artificial,Peas,Clay,Pumps
TANK7,Inoculant,0.0935,0.006925925926,Artificial,Peas,Clay,Pumps
TANK7,Inoculant,1.3,0.0962962963,Artificial,Peas,Clay,Pumps
TANK7,Inoculant,0.245,0.01814814815,Artificial,Peas,Clay,Pumps
TANK7,Inoculant,0.0794,0.005881481481,Artificial,Peas,Clay,Pumps
TANK7,Inoculant,0.151,0.01118518519,Artificial,Peas,Clay,Pumps
TANK7,Inoculant,1.04,0.07703703704,Artificial,Peas,Clay,Pumps
TANK7,Inoculant,0.0564,0.004177777778,Artificial,Peas,Clay,Pumps
TANK7,Inoculant,0.652,0.0482962963,Artificial,Peas,Clay,Pumps
TANK7,Inoculant,0.708,0.05244444444,Artificial,Peas,Clay,Pumps
TANK8,Inoculant,0.375,0.01869900272,Natural,Peas,Clay,Pumps
TANK8,Inoculant,0.289,0.0144106981,Natural,Peas,Clay,Pumps
TANK8,Inoculant,0.0804,0.004009066184,Natural,Peas,Clay,Pumps
TANK8,Inoculant,0.0493,0.002458295558,Natural,Peas,Clay,Pumps
TANK8,Inoculant,0.383,0.01909791478,Natural,Peas,Clay,Pumps
TANK8,Inoculant,0.086,0.004288304625,Natural,Peas,Clay,Pumps
TANK8,Inoculant,0.248,0.0123662738,Natural,Peas,Clay,Pumps
TANK8,Inoculant,0.399,0.0198957389,Natural,Peas,Clay,Pumps
TANK8,Inoculant,0.419,0.02089301904,Natural,Peas,Clay,Pumps
TANK8,Inoculant,0.235,0.01171804171,Natural,Peas,Clay,Pumps
TANK8,Inoculant,0.225,0.01121940163,Natural,Peas,Clay,Pumps
TANK9,Gravel,0.24,0.02336283186,Artificial,Tomatoes,Coconut,Wicks
TANK9,Gravel,0.2,0.01946902655,Artificial,Tomatoes,Coconut,Wicks
TANK9,Gravel,0.36,0.0350442478,Artificial,Tomatoes,Coconut,Wicks
TANK9,Gravel,0.091,0.008858407082,Artificial,Tomatoes,Coconut,Wicks
TANK9,Gravel,0.165,0.01606194691,Artificial,Tomatoes,Coconut,Wicks
TANK9,Gravel,0.0771,0.007505309737,Artificial,Tomatoes,Coconut,Wicks
TANK9,Gravel,0.126,0.01226548673,Artificial,Tomatoes,Coconut,Wicks
TANK9,Gravel,0.139,0.01353097345,Artificial,Tomatoes,Coconut,Wicks
TANK9,Gravel,0.122,0.0118761062,Artificial,Tomatoes,Coconut,Wicks
TANK9,Gravel,0.136,0.01323893806,Artificial,Tomatoes,Coconut,Wicks
TANK9,Gravel,0.149,0.01450442478,Artificial,Tomatoes,Coconut,Wicks
TANK10,Inoculant,0.0806,0.01030930233,Natural,Tomatoes,Float,Pumps
TANK10,Inoculant,0.154,0.01969767442,Natural,Tomatoes,Float,Pumps
TANK10,Inoculant,0.105,0.01343023256,Natural,Tomatoes,Float,Pumps
TANK10,Inoculant,0.0801,0.01024534884,Natural,Tomatoes,Float,Pumps
TANK10,Inoculant,0.131,0.01675581395,Natural,Tomatoes,Float,Pumps
TANK10,Inoculant,0.233,0.02980232558,Natural,Tomatoes,Float,Pumps
TANK10,Inoculant,0.182,0.02327906977,Natural,Tomatoes,Float,Pumps
TANK10,Inoculant,0.142,0.0181627907,Natural,Tomatoes,Float,Pumps
TANK10,Inoculant,0.093,0.01189534884,Natural,Tomatoes,Float,Pumps
TANK10,Inoculant,0.143,0.01829069767,Natural,Tomatoes,Float,Pumps
TANK10,Inoculant,0.0648,0.008288372093,Natural,Tomatoes,Float,Pumps
