Tank#,InoGrav,AvgGrowth,SoilWater
TANK1,Inoculant,0.13,Water
TANK1,Inoculant,0.172,Water
TANK1,Inoculant,0.247,Water
TANK1,Inoculant,0.385,Water
TANK1,Inoculant,0.265,Water
TANK1,Inoculant,0.564,Water
TANK1,Inoculant,0.149,Water
TANK1,Inoculant,0.186,Water
TANK1,Inoculant,0.369,Water
TANK1,Inoculant,0.442,Water
TANK1,Inoculant,0.266,Water
TANK1,Inoculant,0.268,Water
TANK1,Inoculant,0.109,Soil
TANK1,Inoculant,0.11,Soil
TANK1,Inoculant,0.0906,Soil
TANK1,Inoculant,0.288,Soil
TANK1,Inoculant,0.205,Soil
TANK1,Inoculant,0.192,Soil
TANK1,Inoculant,0.307,Soil
TANK1,Inoculant,0.113,Soil
TANK1,Inoculant,0.124,Soil
TANK1,Inoculant,0.166,Soil
TANK1,Inoculant,0.104,Soil
TANK1,Inoculant,0.163,Soil
TANK2,Gravel,0.0576,Water
TANK2,Gravel,0.11,Water
TANK2,Gravel,0.108,Water
TANK2,Gravel,0.168,Water
TANK2,Gravel,0.239,Water
TANK2,Gravel,0.292,Water
TANK2,Gravel,0.403,Water
TANK2,Gravel,0.178,Water
TANK2,Gravel,0.39,Water
TANK2,Gravel,0.0802,Water
TANK2,Gravel,0.139,Water
TANK2,Gravel,0.23,Water
TANK2,Gravel,0.0573,Soil
TANK2,Gravel,0.0451,Soil
TANK2,Gravel,0.0188,Soil
TANK2,Gravel,0.0489,Soil
TANK2,Gravel,0.0426,Soil
TANK2,Gravel,0.0776,Soil
TANK2,Gravel,0.048,Soil
TANK2,Gravel,0.0922,Soil
TANK2,Gravel,0.0514,Soil
TANK2,Gravel,0.049,Soil
TANK2,Gravel,0.0271,Soil
TANK3,Inoculant,0.258,Water
TANK3,Inoculant,0.352,Water
TANK3,Inoculant,0.322,Water
TANK3,Inoculant,0.203,Water
TANK3,Inoculant,0.34,Water
TANK3,Inoculant,0.257,Water
TANK3,Inoculant,0.274,Water
TANK3,Inoculant,0.137,Water
TANK3,Inoculant,0.0284,Water
TANK3,Inoculant,0.244,Water
TANK3,Inoculant,0.0602,Water
TANK3,Inoculant,0.0724,Water
TANK3,Inoculant,0.0503,Soil
TANK3,Inoculant,0.0532,Soil
TANK3,Inoculant,0.0815,Soil
TANK3,Inoculant,0.111,Soil
TANK3,Inoculant,0.14,Soil
TANK3,Inoculant,0.0266,Soil
TANK3,Inoculant,0.0836,Soil
TANK3,Inoculant,0.0423,Soil
TANK3,Inoculant,0.0627,Soil
TANK3,Inoculant,0.0598,Soil
TANK3,Inoculant,0.0272,Soil
TANK3,Inoculant,0.0336,Soil
TANK4,Gravel,0.0361,Water
TANK4,Gravel,0.062,Water
TANK4,Gravel,0.137,Water
TANK4,Gravel,0.155,Water
TANK4,Gravel,0.062,Water
TANK4,Gravel,0.146,Water
TANK4,Gravel,0.19,Water
TANK4,Gravel,0.17,Water
TANK4,Gravel,0.556,Water
TANK4,Gravel,0.125,Water
TANK4,Gravel,0.311,Water
TANK4,Gravel,0.309,Water
TANK4,Gravel,0.0785,Soil
TANK4,Gravel,0.191,Soil
TANK4,Gravel,0.18,Soil
TANK4,Gravel,0.0634,Soil
TANK4,Gravel,0.438,Soil
TANK4,Gravel,0.488,Soil
TANK4,Gravel,0.219,Soil
TANK4,Gravel,0.652,Soil
TANK4,Gravel,0.0715,Soil
TANK4,Gravel,0.297,Soil
TANK4,Gravel,0.314,Soil
TANK5,Inoculant,0.0496,Water
TANK5,Inoculant,0.102,Water
TANK5,Inoculant,0.0369,Water
TANK5,Inoculant,0.189,Water
TANK5,Inoculant,0.157,Water
TANK5,Inoculant,0.241,Water
TANK5,Inoculant,0.0707,Water
TANK5,Inoculant,0.443,Water
TANK5,Inoculant,0.172,Water
TANK5,Inoculant,0.172,Water
TANK5,Inoculant,0.283,Water
TANK5,Inoculant,0.259,Water
TANK5,Inoculant,0.204,Water
TANK5,Inoculant,0.161,Water
TANK5,Inoculant,0.142,Soil
TANK5,Inoculant,0.0302,Soil
TANK5,Inoculant,0.0516,Soil
TANK5,Inoculant,0.0164,Soil
TANK5,Inoculant,0.152,Soil
TANK5,Inoculant,0.0458,Soil
TANK5,Inoculant,0.146,Soil
TANK5,Inoculant,0.1,Soil
TANK5,Inoculant,0.00717,Soil
TANK5,Inoculant,0.129,Soil
TANK5,Inoculant,0.0857,Soil
TANK6,Gravel,0.166,Water
TANK6,Gravel,0.285,Water
TANK6,Gravel,0.121,Water
TANK6,Gravel,0.156,Water
TANK6,Gravel,0.128,Water
TANK6,Gravel,0.182,Water
TANK6,Gravel,0.194,Water
TANK6,Gravel,0.0683,Water
TANK6,Gravel,0.114,Water
TANK6,Gravel,0.244,Water
TANK6,Gravel,0.0181,Water
TANK6,Gravel,0.15,Water
TANK6,Gravel,0.0346,Soil
TANK6,Gravel,0.0123,Soil
TANK6,Gravel,0.053,Soil
TANK6,Gravel,0.0926,Soil
TANK6,Gravel,0.0649,Soil
TANK6,Gravel,0.0857,Soil
TANK6,Gravel,0.05,Soil
TANK6,Gravel,0.148,Soil
TANK6,Gravel,0.0518,Soil
TANK6,Gravel,0.072,Soil
TANK6,Gravel,0.0674,Soil
TANK6,Gravel,0.0817,Soil
