Days	Peas	Basil	Tomatoes
1		0.2727272727	
2		0.7363636364	1.641666667
3	7.718181818		1.591666667
4	10.07272727	0.8636363636	
5			
6			
7			
8	13.33636364		
9	14.85454545	1.259090909	2.841666667
10	15.63333333	1.4425	4.272727273
11	14.04166667		3.690530303
12	15.73939394		2.772727273
13		1.018181818	
14		2.583333333	2.975
15	17.53	2.064772727	3.227272727
16	17.11	3.016666667	
17	18.20681818	2.415151515	3.727272727
18	17.05	2.404166667	6.590909091
19	18.53333333	3.316666667	5.072727273
20		1.841666667	
21			
22	18.45454545	2.983333333	5.591287879
23	11.74444444	3.866666667	7.454545455
24	13.325	3.322727273	5.916666667
25	12.97626263	4.225	10.80454545
26	15.91632997	3.343181818	6.795454545
27	8.463636364		8.909090909
28	9.818181818	2.85	8.818181818
29	15.01363636	4.775	6.812310606
30	19.06666667	3.689393939	7.659090909
31	16.79309764	5.15	7.075252525
32	15.95	5.333333333	6.454545455
33		1.945454545	
34			
35		2.136363636	
36	17.36363636		
37	16.50888889	4.971212121	6.986111111
38	16.82777778	5.296590909	7.5
39	15.80976431	5.883333333	7.184469697
40	16.42777778	5.499621212	7.939393939
41			10.27272727
42	13.45454545	1.818181818	
43	17.171875	5.607954545	8.144507576
44	10.63636364	4.004924242	7.454545455
45			7.589393939
46	15.28888889	6.225	
47	18.45535714	4.691919192	7.702777778
