Day	Tank	Ammonia	Nitrite	Nitrate	pH	Temp
1	1					
2	1					
3	1					
4	1					
5	1	0.25	0	5	7	
6	1	0.25	0	5	7	
7	1					
8	1	0.25	0	10	7.6	
9	1					
10	1					
11	1					
12	1	1	0	10	7.6	
13	1	0.25	0	20	7.2	
14	1	0.25	0	7	7.6	
15	1	0.25	0	5	7.2	25
16	1	0	0	5	7.6	22
17	1					
18	1	0.21	0	0	7.6	
19	1	0.25	0.25	80	6.0	23
20	1	0.5	1	5	6.8	23
21	1	0.25	0.5	10	7.6	23
22	1	0.25	0	80	7.6	23
23	1	0.5	0	40	7.4	18
24	1					
25	1					
26	1	0.5	0	20	7.0	19
27	1	0.5	0	20	7.4	20
28	1	0.25	0	10	7.2	20
29	1	0	0	5	7.0	20
30	1	0.14	0	5	7.0	22
31	1					
32	1	0.25	0	3	7.6	23
33	1					
34	1	0	0	10	6.8	25
35	1	0.25	0	5	7	25
36	1	0	0	5	7	24
37	1					
38	1					
39	1					
40	1					
41	1	0	0	5	7	22
42	1	0.25	0	5	6.8	22
43	1	0.25	0	5	6.8	25
44	1	0	0	20	6.8	22
45	1					
46	1	0.25	0	5	7.6	21
47	1	0	0	5	6.6	24
48	1	0.25	0	0	7	
49	1					
50	1	0.25	0	4	7.6	
51	1					20
1	2					
2	2					
3	2					
4	2					
5	2					
6	2					
7	2					
8	2					
9	2	0.5	1	2.5	6.4	20
10	2	0.5	0.5	1	6.4	
11	2	0.5	1	2.5	6.4	
12	2	0.5	0	2	6.4	
13	2	0.5	1.5			
14	2					
15	2					
16	2			5	6.6	
17	2	0.1	2	10	6.4	21
18	2	0.25	2	2.5	6.4	
19	2	0.25	2.5			
20	2			2.5	6.4	25
21	2	0.2	3			
22	2					
23	2			4	6.6	24
24	2	0.3	1	2.5	6.4	
25	2	0.1	0.25	3.5	6.8	
26	2	0.2	0.1		6.4	
27	2	0.1	0	2.5	7.6	19
28	2	0.3	0.1			
29	2					
30	2			2	6.4	21
31	2	1	0	1	6.4	
32	2	0.25	0	2	6.2	
33	2	0.2	0	2.5	6.4	24
34	2	0.25	0	2.5	6.2	
35	2	0.25				
36	2			1	6.4	23.5
37	2	0.25	0			24
38	2			1	6.1	25
39	2	0.2	0	1	6.8	22
40	2	0.25	0	2	6.4	22
41	2	0.25	0			
42	2					
43	2					
44	2					
45	2			1	6.3	23
46	2	0.25	0	0	6.1	23
47	2	0.25	0	0.5	6.8	25
48	2		0	0.5	6.4	
49	2					
50	2	0.25	0	1	6.8	23
51	2	0.2	0	1	6.6	23
52	2	0.3	0	0		
53	2	0.25	0	0	7.4	26
54	2	0.55	0	0	6.4	
55	2	0.5	0	0	6.4	23
1	3	0.25	0	0	7.1	
2	3	0.25	0.25	6	7.2	20.1
3	3	0.5	0.25	1	7.3	20
4	3	0.25	0.25	6	7.5	18.9
5	3	0.25	0.15	6	7	22.2
6	3					
7	3					
8	3					
9	3	0.25	0.25	5	6.8	21.1
10	3	0	0	6	6	23
11	3	0.1	0	5	7.1	21.7
12	3	0.25	0.25	4	7.0	26
13	3	0	0	4	7.0	24.5
14	3					
15	3					
16	3	0.25	0	3	6.6	2
17	3	0.25	0	5	7	20
18	3	0.5	0.15	4	6.5	22.8
19	3	0.25	0	6	6.8	23
20	3	0.25	0	5	6.2	21
21	3					
22	3					
23	3	0.5	0	6	6.4	21
24	3					20
25	3	0.5	0	5	6.8	
26	3				7.2	
27	3	0.25	0	5	6.6	21
28	3					
29	3	0.25	0.1	5	6.9	23
30	3	0	0	0	6.6	25
31	3	0	0	1	7.0	23
32	3	0	0	0	7	
33	3	0.2				21
34	3					
35	3					
36	3					
37	3					
38	3	0.25	0	2	7.2	24
39	3					24
40	3	0.25	0	0	7.2	23
41	3					25
42	3					
43	3	0	0	0	7.4	21
44	3	0.15	0	0	6.6	23
45	3	0.25	0	0	7	23
46	3	0	0	0	7.2	25
47	3	0.15	0	0	7.5	23
1	4					
2	4					
3	4					
4	4					
5	4	0.25	0	0		
6	4	0.1				
7	4	0.1	0		6.2	
8	4					
9	4	0.25	0	3	6.1	
10	4	0.25	0	3	6	
11	4					
12	4	0.25	0	3	6.0	
13	4	0.5	0	3	6.1	
14	4	0.2	0	2.5	6.4	
15	4	0.2	0	5	6.6	74
16	4				6.4	79
17	4	0.1	0	5	6.7	69.8
18	4					
19	4	0.2	0		6.8	66.2
20	4					71.6
21	4	0.1	0	3	6.6	74.3
22	4					
23	4	0.15	0	3	6.8	74.3
24	4				6.7	75.2
25	4					
26	4					
27	4	0.1	0	2	6.5	69.8
28	4				6.7	67.1
29	4	0.15	0	3.5	6.7	70.7
30	4				6.6	71.6
31	4	0.1	0	3	6.7	73.94
32	4					
33	4	0.1	0	0.1	7	73.4
34	4				6.7	72.68
