T1_Tank_1	T1_Tank_2	T1_Tank_3	T1_Tank_4	T1_Tank_5	T1_Tank_6	T1_Tank_7	T1_Tank_8	T1_Tank_9	T1_Tank_10	T2_Tank_1	T2_Tank_2	T2_Tank_3	T2_Tank_4	T2_Tank_5	T2_Tank_6	T2_Tank_7	T2_Tank_8	T2_Tank_9	T2_Tank_10	T3_Tank_1	T3_Tank_2	T3_Tank_3	T3_Tank_4	T3_Tank_5	T3_Tank_6	T3_Tank_7	T3_Tank_8	T3_Tank_9	T3_Tank_10	T3_EM1	T3_Lambda
<NA>_<NA>_<NA>_<NA>_<NA>___OTU_1	10820	20231	11034	24008	45551	14771	9791	17663	16396	11520	32668	78859	21870	76512	24064	67574	36970	70986	19048	46842	58418	111135	29883	178008	33287	55215	46079	68683	33004	164469	19194	6015
Archaea_Thaumarchaeota_Nitrosopumileria_Nitrosopumilales_Nitrosopumilaceae___OTU_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria_<NA>_<NA>_<NA>_<NA>___OTU_3	268	324	563	343	213	962	133	4890	113	308	1152	939	258	1473	561	3749	4062	1246	457	758	1270	1996	368	1760	927	188449	782	8008	1175	1863	171	35
Bacteria_Acidobacteria_<NA>_<NA>_<NA>___OTU_4	14	4	10	22	3	1	0	1	2	7	109	5	9	17	20	6	6	67	87	29	119	18	23	18	101	0	40	50	202	57	0	1
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_5	39	2	33	18	4	2	0	6	3	5	111	3	7	24	27	6	5	13	115	3	96	0	7	13	27	2	7	11	99	2	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_8	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_10	0	0	0	1	0	0	0	0	0	0	6	0	0	0	1	1	1	0	1	0	2	0	0	0	1	0	0	1	1	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_14	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	6	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_15	2	0	0	1	0	0	0	0	0	0	5	0	0	0	5	1	1	3	3	0	6	0	0	0	3	0	0	2	2	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_16	1	0	46	0	3	0	0	4	0	2	0	3	0	0	2	0	0	7	0	7	0	0	0	0	0	0	14	0	0	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_19	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_20	0	0	23	0	2	0	0	2	0	1	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	3	1	0	3	0	0
Bacteria_Acidobacteria_Blastocatellia_<NA>_<NA>___OTU_21	58	0	2	33	1	12	0	3	33	3	21	44	27	248	12	102	45	18	507	17	106	283	117	178	49	7	28	22	561	168	1	1
Bacteria_Acidobacteria_Blastocatellia_<NA>_<NA>___OTU_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria_Acidobacteria_Blastocatellia_<NA>_<NA>___OTU_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Acidobacteria_Blastocatellia_<NA>_<NA>___OTU_24	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	3	0	0	8	0	26	3	2	3	0	0	0	0	14	1	0	0
Bacteria_Acidobacteria_Blastocatellia_<NA>_<NA>___OTU_25	1	0	0	0	0	0	0	0	1	0	30	0	0	3	0	4	3	0	38	0	178	3	2	9	0	1	0	2	55	2	1	0
Bacteria_Acidobacteria_Blastocatellia_<NA>_<NA>___OTU_26	30	0	0	12	0	0	0	0	15	0	68	3	3	73	0	49	2	1	240	1	473	9	13	72	3	2	1	5	363	1	0	0
Bacteria_Acidobacteria_Blastocatellia_<NA>_Pyrinomonadaceae___OTU_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Acidobacteria_Holophagae_<NA>_<NA>___OTU_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	2	2	0	0
Bacteria_Acidobacteria_Solibacteres_Solibacterales_Bryobacteraceae___OTU_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Acidobacteria_Solibacteres_Solibacterales_Bryobacteraceae___OTU_30	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_<NA>_<NA>___OTU_31	103	42	106	119	145	37	34	117	33	30	535	92	78	104	183	72	378	394	253	159	544	109	82	138	117	9	90	226	328	204	0	0
Bacteria_Actinobacteria_Actinobacteriia_Acidimicrobiales_<NA>___OTU_32	64	0	14	12	18	10	2	32	11	10	235	81	44	65	94	34	478	310	111	118	203	121	60	67	58	0	58	243	152	166	0	1
Bacteria_Actinobacteria_Actinobacteriia_Acidimicrobiales_Acidimicrobiaceae___OTU_33	7	0	1	8	2	1	1	1	1	0	65	3	4	14	11	4	11	11	34	2	63	3	5	16	13	0	3	7	43	12	0	0
Bacteria_Actinobacteria_Actinobacteriia_Acidimicrobiales_Acidimicrobiaceae___OTU_34	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	2	0	1	2	0	0	0	0	2	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Acidimicrobiales_Acidimicrobiaceae___OTU_35	4	0	2	2	2	0	0	0	1	0	95	0	4	19	3	9	1	6	43	3	94	0	18	12	6	0	3	5	51	2	0	0
Bacteria_Actinobacteria_Actinobacteriia_Acidimicrobiales_Acidimicrobiaceae___OTU_36	0	0	0	0	0	0	0	0	0	0	35	2	0	3	6	2	2	2	8	0	35	0	7	3	7	1	2	0	21	4	0	0
Bacteria_Actinobacteria_Actinobacteriia_Acidimicrobiales_Iamiaceae___OTU_37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Acidimicrobiales_Iamiaceae___OTU_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	2	1	0	0
Bacteria_Actinobacteria_Actinobacteriia_Actinomycetales_Actinomycetaceae___OTU_39	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Actinomycetales_Actinomycetaceae___OTU_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Catenulisporales_Catenulisporaceae___OTU_41	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Coriobacteriales_Atopobiaceae___OTU_42	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Coriobacteriales_Atopobiaceae___OTU_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Coriobacteriales_Atopobiaceae___OTU_44	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Coriobacteriales_Atopobiaceae___OTU_45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Coriobacteriales_Atopobiaceae___OTU_46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria_Actinobacteria_Actinobacteriia_Coriobacteriales_Atopobiaceae___OTU_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_<NA>___OTU_48	16	39	32	28	23	9	7	46	6	7	34	34	9	5	28	21	30	119	16	72	9	13	14	10	15	2	26	12	16	35	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_51	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_52	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_53	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_56	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
