Kingdom	Phylum	Class	Order	Family	Genus	Species
<NA>_<NA>_<NA>_<NA>_<NA>___OTU_1	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>
Archaea_Thaumarchaeota_Nitrosopumileria_Nitrosopumilales_Nitrosopumilaceae___OTU_2	Archaea	Thaumarchaeota	Nitrosopumileria	Nitrosopumilales	Nitrosopumilaceae	<NA>	<NA>
Bacteria_<NA>_<NA>_<NA>_<NA>___OTU_3	Bacteria	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>
Bacteria_Acidobacteria_<NA>_<NA>_<NA>___OTU_4	Bacteria	Acidobacteria	<NA>	<NA>	<NA>	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_5	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_6	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_7	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_8	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_9	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_10	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_11	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_12	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_13	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_14	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_15	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_16	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae___OTU_17	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	<NA>	<NA>
