Sample	Tank	Time_point	Lighting	Plants	Media	Water_circulation	Nitrifying_components
T1_Tank_1	Tank_1	T1	Artificial	Peas	Floating_beds	Wicks	Collected_gravel
T1_Tank_2	Tank_2	T1	Natural	Basil	Clay_pellets	Wicks	Commercial
T1_Tank_3	Tank_3	T1	Artificial	Basil	Floating_beds	Wicks	Commercial
T1_Tank_4	Tank_4	T1	Natural	Tomatoes	Coconut_husks	Wicks	Collected_gravel
T1_Tank_5	Tank_5	T1	Artificial	Tomatoes	Clay_pellets	Pumps	Commercial
T1_Tank_6	Tank_6	T1	Natural	Tomatoes	Floating_beds	Pumps	Collected_gravel
T1_Tank_7	Tank_7	T1	Artificial	Peas	Clay_pellets	Pumps	Commercial
T1_Tank_8	Tank_8	T1	Natural	Peas	Clay_pellets	Pumps	Commercial
T1_Tank_9	Tank_9	T1	Artificial	Basil	Coconut_husks	Wicks	Collected_gravel
T1_Tank_10	Tank_10	T1	Natural	Basil	Floating_beds	Pumps	Commercial
T2_Tank_1	Tank_1	T2	Artificial	Peas	Floating_beds	Wicks	Collected_gravel
T2_Tank_2	Tank_2	T2	Natural	Basil	Clay_pellets	Wicks	Commercial
T2_Tank_3	Tank_3	T2	Artificial	Basil	Floating_beds	Wicks	Commercial
T2_Tank_4	Tank_4	T2	Natural	Tomatoes	Coconut_husks	Wicks	Collected_gravel
T2_Tank_5	Tank_5	T2	Artificial	Tomatoes	Clay_pellets	Pumps	Commercial
T2_Tank_6	Tank_6	T2	Natural	Tomatoes	Floating_beds	Pumps	Collected_gravel
T2_Tank_7	Tank_7	T2	Artificial	Peas	Clay_pellets	Pumps	Commercial
T2_Tank_8	Tank_8	T2	Natural	Peas	Clay_pellets	Pumps	Commercial
T2_Tank_9	Tank_9	T2	Artificial	Basil	Coconut_husks	Wicks	Collected_gravel
T2_Tank_10	Tank_10	T2	Natural	Basil	Floating_beds	Pumps	Commercial
T3_Tank_1	Tank_1	T3	Artificial	Peas	Floating_beds	Wicks	Collected_gravel
T3_Tank_2	Tank_2	T3	Natural	Basil	Clay_pellets	Wicks	Commercial
T3_Tank_3	Tank_3	T3	Artificial	Basil	Floating_beds	Wicks	Commercial
T3_Tank_4	Tank_4	T3	Natural	Tomatoes	Coconut_husks	Wicks	Collected_gravel
T3_Tank_5	Tank_5	T3	Artificial	Tomatoes	Clay_pellets	Pumps	Commercial
T3_Tank_6	Tank_6	T3	Natural	Tomatoes	Floating_beds	Pumps	Collected_gravel
T3_Tank_7	Tank_7	T3	Artificial	Peas	Clay_pellets	Pumps	Commercial
T3_Tank_8	Tank_8	T3	Natural	Peas	Clay_pellets	Pumps	Commercial
T3_Tank_9	Tank_9	T3	Artificial	Basil	Coconut_husks	Wicks	Collected_gravel
T3_Tank_10	Tank_10	T3	Natural	Basil	Floating_beds	Pumps	Commercial
T3_EM1	EM1	T3	NA	NA	NA	NA	NA
T3_Lambda	Lambda	T3	NA	NA	NA	NA	NA
