Days	Natural	Artificial
1	-1.789700733	
2	-1.522266188	-1.998972548
3	-1.800620541	-2.019481104
4	-1.346772014	
5		
6		
7		
8	-0.4741174262	
9	-0.5410414625	-1.490919537
10	-0.7205626865	-0.9197875023
11	-0.2623348378	-0.8900063443
12	-0.6389696362	-0.07058573424
13		-1.359707936
14	-0.4568978543	-1.452077737
15	-0.4121959156	-1.108004834
16	0.1049646358	
17	-0.5275964735	0.5948122661
18	0.1675804023	-0.5109405384
19	-0.1077964243	0.006802691409
20		-0.8847057289
21		
22	-0.4524579106	0.03088919103
23	0.4997798206	-1.015435464
24	0.02059437043	-0.5324349627
25	0.3735192601	0.8849800417
26	0.1973882755	-0.0525820464
27		-0.3213485633
28		-0.2210814572
29	0.3218825357	-0.04964114714
30	0.4046291845	0.3710212963
31	0.5637180607	0.2619448015
32	0.7135839447	-0.7502933713
33		-0.8248388459
34		
35		-0.7147187391
36		0.4767577818
37	0.6142859691	-0.0505470029
38	0.6715623791	0.3854129267
39	0.8907271177	-0.1156334361
40	0.7365621119	0.515921916
41		1.541239149
42		-0.6722329456
43	0.8946647599	0.5461280691
44	1.004880975	-1.004931946
45	0.2641154707	0.7936090836
46	1.64368688	-0.01310870331
47	0.9632459188	0.1307679634
