Days	Wick	Pump
1		-1.789700733
2	-1.760619368	
3	-2.019481104	-1.800620541
4	-1.448852784	-1.244691243
5		
6		
7		
8		-0.4741174262
9	-1.236594529	-0.7953664709
10	-0.9142636908	-0.62647409
11	-0.8900063443	-0.2623348378
12	-0.8028149498	0.257104893
13		-1.359707936
14	-0.9544877955	
15	-0.876312738	-0.2959835524
16	-0.206942691	0.4168719625
17	-0.2739256287	-0.4071310717
18	-0.01824045774	-0.3251196783
19	-0.2127570452	0.7608040275
20		-0.8847057289
21		
22	0.00179679917	-0.6214004817
23	0.334328182	-0.8499838252
24	0.01001819911	-0.413368159
25	2.190224311	-0.496643586
26	0.4615339113	-0.3167276822
27	0.9819149108	-1.624612037
28	0.9446266281	-0.8039354998
29	0.3998335317	-0.1535758085
30	1.122197739	0.02904096324
31	0.553817189	-0.01507627844
32	0.5522436724	0.142985559
33		-0.8248388459
34		
35		-0.7147187391
36	0.4767577818	
37	0.5852868212	0.3036188441
38	0.8425352205	0.4002580218
39	0.4088253119	0.3449898986
40	0.9800364954	0.4436362263
41	1.541239149	
42	-0.4462136409	-0.8982522503
43	0.9381838203	0.5897431814
44	0.2564239596	-0.2564749305
45	0.3657260407	0.5903879436
46	1.64368688	-0.01310870331
47	0.9033299272	0.4997087406
